F0,F1,F2,F3,F4,F5,F6,F7,F8,Task1,Task2
22,36000,R,1.0,E,5000,12.68,0.14,N,1,C
22,27600,R,0.0,V,6700,15.31,0.24,N,1,D
33,55000,M,7.0,H,3500,10.65,0.06,N,0,B
24,35004,R,0.0,P,10000,12.84,0.29,Y,0,C
27,48000,R,5.0,M,9000,10.99,0.19,N,0,B
36,32000,O,0.0,E,1200,7.14,0.04,N,0,A
28,48000,R,4.0,M,3500,15.21,0.07,Y,0,D
25,74000,R,2.0,V,12000,7.88,0.16,N,0,A
23,55000,R,3.0,E,19200,15.21,0.35,N,1,D
22,67775,M,3.0,E,9600,14.79,0.14,Y,0,C
29,62050,M,13.0,M,3600,17.99,0.05,N,1,E
28,69000,M,5.0,D,25000,19.41,0.36,Y,1,F
33,48000,R,0.0,M,4000,14.65,0.08,N,0,C
35,38004,R,4.0,M,10000,9.99,0.26,N,0,B
25,85584,M,10.0,D,24000,17.19,0.28,Y,1,E
31,73000,R,5.0,H,5800,10.37,0.08,N,0,B
27,42000,R,2.0,M,6550,7.88,0.16,N,0,A
22,37000,R,2.0,H,2500,17.49,0.07,N,1,D
29,57996,M,6.0,E,20475,12.72,0.35,N,0,C
24,51684,R,8.0,P,3000,10.59,0.06,N,0,B
30,182004,M,2.0,P,7200,6.62,0.04,N,0,A
25,55000,M,9.0,E,6300,11.49,0.11,N,0,B
28,30000,R,1.0,P,5000,6.17,0.17,N,0,A
26,90000,R,2.0,D,9600,13.85,0.11,Y,0,C
26,64000,M,6.0,D,9000,18.64,0.14,N,1,E
34,54000,M,18.0,H,4000,6.39,0.07,N,0,A
30,78411,T,15.0,V,15850,11.14,0.2,N,0,B
24,62500,R,5.0,E,11500,5.79,0.18,N,0,A
23,82800,M,1.0,H,12000,9.76,0.14,N,1,B
28,72000,M,9.0,P,18000,11.89,0.25,N,0,B
28,216000,M,12.0,V,15000,16.02,0.07,Y,0,D
39,73000,M,2.0,E,5000,11.86,0.07,N,1,B
26,125000,M,4.0,M,9600,5.79,0.08,N,0,A
44,70000,R,4.0,E,9500,14.22,0.14,N,0,C
27,90000,O,1.0,V,7500,7.51,0.08,N,0,A
26,92004,M,3.0,M,24250,14.72,0.26,N,0,C
25,39000,M,9.0,D,3000,13.99,0.08,N,0,C
22,30000,R,0.0,E,6300,13.22,0.21,Y,0,C
35,85000,R,1.0,V,3600,7.51,0.04,N,0,A
24,46000,M,2.0,D,10075,12.42,0.22,N,0,B
22,69000,R,5.0,M,8650,11.49,0.13,N,0,B
24,62400,M,3.0,E,9500,6.54,0.15,N,0,A
31,55000,R,3.0,P,6000,10.38,0.11,N,0,B
29,130000,M,9.0,D,4200,6.99,0.03,N,0,A
23,66000,R,1.0,E,14000,12.99,0.21,N,0,C
34,98000,O,19.0,E,16000,10.99,0.16,N,0,B
42,97000,M,13.0,P,1500,15.96,0.02,Y,0,C
22,61000,M,1.0,M,8000,5.79,0.13,N,0,A
30,84000,R,4.0,M,14000,12.42,0.17,N,0,B
48,39915,R,15.0,V,20000,7.49,0.5,N,1,A
34,85800,O,11.0,V,5000,7.4,0.06,N,0,A
25,34000,M,0.0,M,10000,12.87,0.29,Y,0,C
22,74000,R,2.0,P,10000,7.51,0.14,N,1,A
34,52809,R,18.0,D,13000,10.62,0.25,N,0,B
27,64000,R,0.0,P,10000,15.27,0.16,Y,0,C
33,40000,M,12.0,P,3200,5.42,0.08,N,0,A
26,30000,R,1.0,M,8000,10.0,0.27,N,0,B
29,63000,R,5.0,P,10000,15.33,0.16,N,0,D
24,21600,R,0.0,E,2600,19.29,0.12,Y,1,E
32,96000,R,14.0,D,4000,17.93,0.04,Y,1,E
33,130000,M,7.0,P,2400,5.42,0.02,N,0,A
23,18000,R,1.0,H,3000,11.71,0.17,N,1,B
32,56784,O,3.0,M,12000,14.96,0.21,Y,0,D
30,62500,M,8.0,M,15000,6.91,0.24,N,0,A
33,40000,M,3.0,E,9000,13.16,0.23,N,0,C
27,140987,M,5.0,V,6450,5.99,0.05,N,0,A
29,76000,M,9.0,D,4400,16.29,0.06,Y,1,D
23,24000,R,4.0,D,5000,6.62,0.21,N,0,A
35,120000,M,4.0,M,8850,10.99,0.07,N,0,B
33,110000,R,3.0,H,12000,10.65,0.11,N,0,B
27,43200,R,2.0,D,4500,16.07,0.1,Y,1,D
25,60000,M,10.0,P,3600,5.99,0.06,N,0,A
29,41200,R,3.0,E,8000,11.99,0.19,N,0,B
22,65000,R,3.0,M,9600,11.97,0.15,N,0,C
23,60000,R,0.0,D,15000,11.11,0.25,N,0,B
24,75000,M,5.0,H,12000,5.99,0.16,N,0,A
25,88500,R,3.0,D,7200,13.47,0.08,N,0,C
22,40000,R,0.0,M,12800,8.9,0.32,N,1,A
37,35000,O,2.0,P,13250,11.71,0.38,N,0,B
25,13000,R,2.0,P,4000,15.65,0.31,Y,1,D
24,35100,R,8.0,V,1000,13.49,0.03,Y,0,C
26,83300,R,2.0,M,16500,16.77,0.17,N,1,D
25,93600,M,9.0,D,20000,10.62,0.21,N,0,B
22,48000,R,1.0,M,7200,9.62,0.15,N,0,B
26,38832,R,0.0,D,10000,10.37,0.26,N,0,B
36,50000,M,2.0,M,16000,13.48,0.32,N,0,C
37,66560,R,11.0,D,7200,10.0,0.11,N,0,B
35,75000,M,5.0,D,4000,14.27,0.05,Y,0,C
22,116700,M,0.0,E,6000,8.49,0.05,N,0,A
23,24000,O,5.0,E,7000,11.86,0.29,N,0,B
22,24000,M,4.0,V,1300,5.42,0.05,N,0,A
36,37500,M,6.0,V,10000,9.32,0.27,N,0,A
24,37000,M,8.0,M,10000,10.99,0.27,N,0,B
23,121000,M,4.0,P,3600,5.79,0.03,N,0,A
30,120000,M,6.0,E,14000,7.88,0.12,N,0,A
40,65000,R,1.0,D,5000,9.63,0.08,N,0,B
29,55000,R,3.0,D,1200,9.99,0.02,N,0,B
41,76000,M,17.0,H,4800,5.42,0.06,N,0,A
31,33600,M,15.0,P,6500,7.14,0.19,N,0,A
29,60000,M,2.0,M,1500,6.03,0.03,N,0,A
26,32000,R,6.0,P,10000,6.99,0.31,N,1,A
36,31000,R,3.0,V,7100,8.9,0.23,N,0,A
25,45000,M,2.0,M,3000,6.92,0.07,N,0,A
27,74400,M,11.0,D,10000,16.0,0.13,Y,1,D
47,53808,M,4.0,V,15000,11.71,0.28,N,0,B
25,162000,R,9.0,P,25000,11.03,0.15,N,0,C
35,74000,M,13.0,D,5000,7.9,0.07,N,0,A
25,45000,R,1.0,D,10000,11.89,0.22,N,0,B
22,34404,R,2.0,H,7500,15.05,0.22,N,1,D
25,44000,M,2.0,V,12000,14.54,0.27,N,0,D
34,77000,R,3.0,D,35000,18.25,0.45,Y,1,D
28,53000,R,0.0,D,7000,9.88,0.13,N,0,B
22,50663,R,0.0,E,7500,13.22,0.15,N,0,C
24,50000,R,1.0,P,10000,11.71,0.2,N,0,B
23,65000,R,7.0,V,15000,11.12,0.23,N,0,B
44,67000,R,5.0,M,10000,13.49,0.15,N,0,C
26,74000,M,1.0,E,24000,10.74,0.32,N,1,B
22,30000,R,3.0,V,3500,14.22,0.12,N,1,C
22,93600,M,6.0,E,5000,9.99,0.05,N,0,B
24,40000,R,1.0,V,9000,11.99,0.23,N,0,B
25,34000,M,9.0,D,2000,7.66,0.06,N,1,A
27,31500,R,10.0,D,6000,12.84,0.19,N,1,C
30,85000,R,4.0,M,10000,6.62,0.12,N,0,A
26,25000,R,0.0,P,2400,15.28,0.1,Y,1,D
24,120000,R,1.0,V,24000,12.69,0.2,N,0,B
34,90000,R,15.0,V,15000,11.12,0.17,N,0,B
29,14400,R,4.0,D,2200,5.99,0.15,N,0,A
37,30000,R,7.0,P,10000,9.25,0.33,N,1,B
27,90000,M,11.0,P,10000,8.94,0.11,N,0,A
22,52500,R,1.0,M,16000,12.69,0.3,N,1,B
26,120000,M,1.0,H,20000,17.74,0.17,Y,0,E
26,75000,M,5.0,H,12500,5.99,0.17,N,0,A
27,35000,R,3.0,P,6000,11.11,0.17,N,0,B
21,23000,M,6.0,D,3000,13.35,0.13,N,0,C
24,75000,M,3.0,H,3000,11.11,0.04,N,0,B
27,90000,R,11.0,P,16000,8.88,0.18,N,0,B
25,120000,R,9.0,E,30000,7.9,0.25,N,0,A
34,56000,R,16.0,D,5000,8.9,0.09,N,0,A
23,74758,M,3.0,D,11050,10.37,0.15,N,0,B
26,34138,R,3.0,D,12000,10.39,0.35,N,1,B
24,27360,M,5.0,P,8000,7.29,0.29,N,0,A
25,52000,R,2.0,H,7000,10.59,0.13,N,0,B
29,59000,R,3.0,D,6000,10.37,0.1,N,0,B
24,34132,R,0.0,E,12000,10.62,0.35,N,1,B
22,35000,R,0.0,P,3600,11.83,0.1,N,0,B
23,78000,R,7.0,D,30000,18.62,0.38,Y,1,F
30,51600,R,12.0,D,2000,9.99,0.04,N,0,B
24,74900,M,5.0,V,18300,10.99,0.24,N,0,B
36,62000,R,3.0,D,8000,11.12,0.13,N,0,B
32,42000,R,3.0,P,2400,9.62,0.06,N,0,B
22,72000,R,3.0,E,1000,7.88,0.01,N,0,A
30,38000,M,5.0,E,10000,17.99,0.26,N,1,E
34,92000,M,14.0,H,16000,11.11,0.17,N,0,B
23,30000,M,2.0,V,1200,9.67,0.04,N,0,B
22,50000,R,6.0,M,9500,6.99,0.19,N,0,A
26,108000,R,2.0,P,25000,15.05,0.23,N,1,D
31,20000,R,7.0,E,2500,12.53,0.13,Y,0,C
22,69000,R,5.0,E,8650,11.49,0.13,N,0,B
25,20000,R,2.0,P,2500,15.7,0.13,N,1,D
32,25000,R,12.0,V,5500,11.11,0.22,N,0,B
22,26796,M,6.0,V,3000,8.32,0.11,N,0,A
30,225000,R,2.0,M,25000,12.42,0.11,N,0,B
25,37980,M,7.0,P,3500,6.03,0.09,N,0,A
24,33000,R,3.0,D,6000,15.62,0.18,N,1,D
22,115200,R,0.0,D,7000,7.66,0.06,N,0,A
23,50000,O,0.0,V,14000,10.33,0.28,N,0,B
28,50000,R,2.0,E,15200,10.25,0.3,N,0,B
27,35000,R,3.0,M,6000,7.49,0.17,N,0,A
31,54200,R,4.0,V,7500,12.61,0.14,N,0,C
30,55684,M,13.0,E,5200,12.69,0.09,N,0,B
21,40000,R,5.0,V,10000,7.51,0.25,N,0,A
25,67675,M,9.0,M,3000,14.35,0.04,N,0,C
44,88000,R,8.0,E,8000,10.38,0.09,N,0,B
25,60000,M,4.0,D,1200,13.49,0.02,N,0,C
28,54400,R,1.0,M,8000,15.65,0.13,N,1,D
27,32200,R,1.0,E,6300,16.45,0.2,N,1,E
26,65000,R,5.0,D,3200,11.71,0.05,N,0,B
28,42000,R,9.0,E,2500,8.49,0.06,N,0,A
29,57000,M,13.0,H,6000,9.32,0.11,N,0,A
27,78000,M,0.0,H,5000,5.42,0.06,N,0,A
33,58000,M,2.0,V,15000,9.91,0.26,N,0,B
45,82800,R,4.0,E,25000,12.87,0.3,Y,1,C
35,106369,M,2.0,M,8325,6.99,0.08,N,0,A
45,139380,O,4.0,H,9000,7.51,0.06,N,0,A
23,50400,M,7.0,V,2500,10.99,0.05,N,0,B
25,51000,M,6.0,E,3000,13.99,0.06,N,0,C
29,186063,M,14.0,E,25000,10.46,0.13,N,0,B
23,46000,M,6.0,P,15000,6.99,0.33,N,0,A
30,40000,R,5.0,M,3000,7.14,0.07,N,0,A
35,120000,R,4.0,V,12000,10.99,0.1,N,0,B
24,91000,M,5.0,D,15000,7.88,0.16,N,0,A
31,85000,R,5.0,P,12000,15.27,0.14,N,0,C
22,45000,R,7.0,P,9000,7.9,0.2,N,0,A
29,32400,R,11.0,H,5800,5.79,0.18,N,1,A
41,31000,R,5.0,M,3700,16.32,0.12,N,1,E
24,26400,R,3.0,H,9000,11.49,0.34,N,1,B
24,39000,R,2.0,V,4500,10.99,0.12,N,0,B
23,175000,M,3.0,E,7200,8.38,0.04,N,0,A
26,51300,R,9.0,D,8400,11.99,0.16,N,0,B
58,51252,R,0.0,P,13500,11.58,0.26,N,0,B
31,30000,O,2.0,V,10000,7.88,0.33,N,0,A
21,80000,M,5.0,E,5000,12.99,0.06,N,0,C
27,99996,M,0.0,V,3000,12.84,0.03,N,0,C
30,58000,O,7.0,P,6000,5.79,0.1,N,0,A
40,70000,M,1.0,V,11600,6.91,0.17,N,0,A
38,66000,R,1.0,P,10000,15.99,0.15,Y,1,D
25,32000,R,7.0,D,11000,7.66,0.34,N,1,A
25,58020,R,9.0,P,2000,6.91,0.03,N,0,A
26,86000,R,4.0,E,10000,13.49,0.12,N,0,C
24,89772,R,8.0,D,6000,13.92,0.07,Y,0,C
31,79000,M,1.0,D,5000,8.0,0.06,N,0,A
37,54000,R,15.0,M,5400,13.99,0.1,Y,1,C
30,100000,O,0.0,E,8000,7.29,0.08,N,0,A
26,64000,R,0.0,V,10000,16.4,0.16,N,1,E
33,96000,M,4.0,D,3000,11.49,0.03,N,0,B
24,79000,R,3.0,P,7000,12.54,0.09,N,0,C
24,70000,M,1.0,E,9000,11.83,0.13,N,0,B
25,50000,R,9.0,H,6075,10.0,0.12,N,0,B
23,94000,M,1.0,P,13000,6.03,0.14,N,0,A
22,37000,R,3.0,P,15000,10.25,0.41,N,1,B
29,162480,M,2.0,P,25000,12.42,0.15,N,0,B
28,34200,R,8.0,P,7500,8.94,0.22,N,0,A
35,62000,M,9.0,H,13000,9.25,0.21,N,1,B
40,45000,M,5.0,H,3600,6.62,0.08,N,0,A
29,27996,R,4.0,M,4000,6.92,0.14,N,0,A
32,20004,R,16.0,P,3500,6.39,0.17,N,0,A
27,51600,M,5.0,D,10800,6.91,0.21,N,0,A
31,60000,O,3.0,D,5000,16.49,0.08,N,0,D
25,50000,M,9.0,V,18650,7.9,0.37,N,0,A
30,250000,M,1.0,D,5000,9.01,0.02,N,0,B
28,67000,M,3.0,V,14400,9.88,0.21,N,0,B
21,20400,O,5.0,M,2400,11.49,0.12,N,0,B
27,66000,R,2.0,V,14000,12.99,0.21,Y,0,C
23,37000,R,7.0,E,3000,10.75,0.08,N,1,B
25,42000,R,0.0,E,7400,16.32,0.18,N,1,E
24,83500,R,1.0,E,20000,13.48,0.24,N,0,C
33,72000,M,6.0,V,4250,5.42,0.06,N,0,A
30,94104,O,15.0,V,14400,14.27,0.15,Y,0,C
42,52400,M,14.0,P,21000,10.38,0.4,N,0,B
28,60000,R,12.0,H,5000,15.7,0.08,Y,0,D
24,78000,M,8.0,H,9800,10.99,0.13,N,0,B
40,69000,M,21.0,D,13200,13.24,0.19,Y,1,D
24,65000,M,7.0,V,6000,5.42,0.09,N,0,A
24,29000,R,0.0,M,12000,15.05,0.41,Y,1,D
28,70000,R,0.0,D,12800,13.57,0.18,N,0,C
35,55000,M,4.0,E,8500,7.88,0.15,N,0,A
21,52000,M,4.0,P,2000,15.62,0.04,N,0,D
24,53004,M,6.0,V,21000,10.65,0.4,N,0,B
33,39000,O,0.0,V,10000,12.42,0.26,N,0,B
21,30000,R,2.0,M,5000,14.96,0.17,Y,1,D
23,106000,M,7.0,E,10000,7.14,0.09,N,0,A
27,48000,R,5.0,M,10200,10.38,0.21,N,0,B
38,63500,O,3.0,E,2400,11.36,0.04,N,0,B
22,39000,O,0.0,E,25000,16.08,0.64,N,1,F
25,50000,R,5.0,H,3000,6.03,0.06,N,0,A
27,50000,R,0.0,E,8000,7.9,0.16,N,0,A
30,54600,M,11.0,V,2500,9.99,0.05,N,0,B
22,103000,M,7.0,E,15000,15.99,0.15,N,0,D
33,40000,R,2.0,D,4000,7.88,0.1,N,0,A
25,134300,R,3.0,M,5000,16.49,0.03,N,1,D
26,50000,R,0.0,M,10000,10.95,0.2,N,0,B
21,62000,M,2.0,P,6000,7.51,0.1,N,0,A
35,40800,R,5.0,V,5000,6.54,0.12,N,0,A
22,40000,R,0.0,V,6000,8.32,0.15,N,0,A
30,40000,R,5.0,M,3000,7.14,0.07,N,0,A
36,45600,M,8.0,M,18000,6.91,0.39,N,0,A
41,62903,M,4.0,M,9600,10.0,0.13,N,1,B
29,94000,M,13.0,P,30000,6.62,0.32,N,0,A
29,80000,R,3.0,P,6000,6.99,0.07,N,0,A
22,36000,R,4.0,P,10000,11.36,0.28,N,1,B
25,96000,M,6.0,V,21000,14.65,0.22,N,0,C
25,68000,R,0.0,V,4000,6.76,0.06,N,0,A
31,30000,O,2.0,H,2950,10.75,0.1,N,0,B
30,39600,M,11.0,E,15000,7.49,0.38,N,1,A
24,16800,R,2.0,D,6000,14.84,0.36,Y,1,D
35,80000,R,19.0,V,25000,14.09,0.31,Y,1,D
36,27600,R,1.0,M,4000,11.86,0.14,N,0,B
24,79000,R,8.0,H,21000,7.9,0.27,N,0,A
22,18000,R,1.0,E,7000,10.65,0.39,N,1,B
25,80000,M,4.0,P,11000,6.62,0.14,N,0,A
24,90000,R,2.0,E,11000,11.14,0.12,N,0,B
50,50000,R,1.0,P,16000,7.9,0.32,N,1,A
25,45996,R,3.0,D,11500,12.53,0.25,Y,0,C
29,54000,M,2.0,D,5000,7.14,0.09,N,0,A
30,28000,O,5.0,P,6300,11.99,0.23,N,0,B
23,38000,R,5.0,V,4400,11.71,0.12,N,0,B
23,72000,M,7.0,D,6000,6.17,0.08,N,0,A
26,33996,R,2.0,P,10800,11.12,0.32,N,1,B
23,69996,M,7.0,V,3000,6.39,0.04,N,0,A
21,55000,R,3.0,E,6000,10.99,0.11,N,0,B
26,35000,O,1.0,P,7500,7.9,0.21,N,0,A
23,37000,M,3.0,M,3600,15.62,0.1,N,1,D
24,42494,R,7.0,V,16000,11.71,0.38,N,1,B
22,26400,R,1.0,P,3500,15.27,0.13,N,0,C
29,150000,M,2.0,H,16000,11.14,0.11,N,0,B
23,24000,R,0.0,E,2000,14.35,0.08,Y,0,C
27,50000,R,0.0,P,18000,8.49,0.36,N,1,A
39,32280,R,22.0,P,2400,8.88,0.07,N,0,B
24,70000,R,1.0,H,17600,10.62,0.25,N,0,B
29,72000,M,6.0,V,16800,15.62,0.23,N,0,D
40,62000,R,3.0,D,8000,8.49,0.13,N,0,A
23,102000,O,0.0,M,30000,16.77,0.29,Y,0,D
26,61200,O,4.0,H,1500,12.84,0.02,Y,0,C
25,33000,R,0.0,D,1000,7.29,0.03,N,0,A
22,45996,R,2.0,E,8000,7.51,0.17,N,0,A
25,90000,R,9.0,M,25000,10.99,0.28,N,0,B
27,27000,R,2.0,M,9750,9.63,0.36,N,1,B
28,96000,R,3.0,H,28000,7.9,0.29,N,0,A
25,134000,R,7.0,M,25000,10.62,0.19,N,0,B
22,50000,R,6.0,M,10000,7.88,0.2,N,0,A
28,95827,M,11.0,E,16000,14.5,0.17,N,0,E
33,99000,M,8.0,M,24000,11.36,0.24,N,0,B
25,15000,R,0.0,V,2200,7.88,0.15,N,0,A
23,75000,R,0.0,V,6000,11.48,0.08,N,0,B
21,36895,R,6.0,M,4200,9.32,0.11,N,0,A
27,69000,R,1.0,M,2000,6.99,0.03,N,0,A
30,61000,R,4.0,E,12000,6.92,0.2,N,0,A
29,74360,O,7.0,M,8725,5.99,0.12,N,0,A
34,60000,M,5.0,E,7000,12.53,0.12,Y,0,C
24,60000,R,4.0,E,10000,16.89,0.17,Y,0,D
30,33000,R,4.0,D,1000,14.79,0.03,Y,0,C
23,39996,R,6.0,P,5000,10.2,0.13,N,0,B
24,42500,M,8.0,D,10000,13.8,0.24,N,0,C
23,113000,R,2.0,D,14000,13.49,0.12,Y,0,C
24,36000,R,3.0,E,10000,5.99,0.28,N,0,A
21,22200,R,2.0,P,2500,16.29,0.11,N,1,D
23,63000,M,8.0,E,7300,7.49,0.12,N,0,A
47,48000,M,13.0,M,16750,10.62,0.35,N,0,B
23,40000,M,3.0,E,12000,9.88,0.3,N,0,B
24,48000,O,3.0,H,2800,12.53,0.06,Y,0,C
21,36000,R,3.0,E,10000,10.62,0.28,N,0,B
24,56000,M,5.0,V,13000,8.94,0.23,N,0,A
27,90000,M,5.0,V,12000,12.73,0.13,N,0,C
22,56368,M,5.0,E,6000,12.99,0.11,N,0,C
33,24000,R,3.0,E,1600,8.88,0.07,N,0,B
25,50000,R,0.0,E,11000,12.53,0.22,N,0,B
24,20000,R,8.0,V,6000,7.14,0.3,N,0,A
23,45000,M,1.0,M,7200,11.86,0.16,N,0,B
23,80000,M,7.0,D,10000,7.74,0.13,N,0,A
26,27000,R,9.0,D,11000,8.9,0.41,N,1,A
38,17108,M,7.0,E,4375,7.51,0.26,N,1,A
21,47580,M,5.0,E,14000,6.03,0.29,N,0,A
25,150000,M,4.0,E,6000,7.66,0.04,N,0,A
22,29950,R,0.0,H,10750,14.11,0.36,N,1,D
28,56056,R,3.0,D,5600,10.37,0.1,N,0,B
22,24000,R,6.0,M,6000,10.65,0.25,N,0,B
27,40000,R,9.0,D,2000,10.75,0.05,N,0,B
25,82000,R,0.0,P,6000,9.91,0.07,N,0,B
33,32004,R,3.0,P,4000,8.32,0.12,N,0,A
49,120000,M,12.0,M,12000,10.99,0.1,N,0,B
30,54000,R,1.0,E,6300,10.0,0.12,N,0,B
26,95400,M,8.0,P,5000,12.68,0.05,N,0,C
24,85000,R,0.0,E,16000,6.91,0.19,N,0,A
29,67000,M,13.0,H,10000,7.14,0.15,N,0,A
29,70000,M,11.0,E,6000,14.27,0.09,Y,0,C
26,69700,R,4.0,M,13000,14.42,0.16,Y,1,D
24,102000,R,8.0,E,18000,12.53,0.18,Y,0,C
24,112500,R,1.0,P,16000,12.29,0.14,N,0,C
29,25400,R,1.0,E,7500,14.59,0.3,Y,1,D
23,55000,R,0.0,D,10200,12.73,0.19,N,0,C
27,50000,M,6.0,P,12000,11.71,0.24,N,0,B
23,100000,R,1.0,E,12000,13.57,0.12,N,0,C
28,95000,O,4.0,H,25000,9.62,0.26,N,0,B
26,113000,M,10.0,P,12000,7.29,0.11,N,1,A
36,52000,M,2.0,H,8000,7.51,0.15,N,0,A
33,50400,M,3.0,V,6000,6.92,0.12,N,0,A
31,165000,M,3.0,H,15000,12.61,0.09,N,0,C
21,24000,R,5.0,E,2000,11.14,0.08,N,0,B
27,75000,R,2.0,V,14000,9.63,0.19,N,0,A
30,65000,M,2.0,H,4000,15.21,0.06,N,0,D
38,130000,M,1.0,D,30000,9.91,0.23,N,0,B
23,26000,M,2.0,V,7000,14.93,0.27,Y,0,E
22,32340,R,6.0,D,7000,6.62,0.22,N,0,A
27,26400,R,1.0,M,2000,13.61,0.08,N,0,C
49,69000,R,11.0,V,10000,13.48,0.14,N,0,C
22,43000,O,7.0,P,6000,7.74,0.14,N,0,A
26,34100,R,0.0,D,11500,6.62,0.34,N,1,A
26,160000,R,3.0,H,20000,9.99,0.13,N,0,B
25,150000,M,9.0,M,20000,14.65,0.13,Y,0,C
23,60000,M,6.0,D,7000,12.99,0.12,N,0,C
31,66000,R,4.0,D,6000,14.35,0.09,N,1,C
25,35364,R,0.0,E,10000,9.32,0.28,N,0,A
24,40000,O,1.0,H,9000,8.94,0.23,N,0,A
27,113800,M,3.0,M,7500,8.63,0.07,N,0,A
28,30000,R,0.0,V,10000,14.54,0.33,N,1,D
24,110000,M,5.0,V,15000,10.25,0.14,N,0,B
21,41200,O,3.0,P,8000,11.48,0.19,N,0,B
22,61000,M,6.0,D,12000,7.29,0.2,N,0,A
36,140000,O,13.0,V,20800,11.48,0.15,N,0,B
26,73000,M,5.0,M,14400,13.61,0.2,N,0,C
25,75000,M,1.0,V,6000,9.63,0.08,N,0,A
27,108928,M,9.0,E,17600,7.88,0.16,N,0,A
22,48000,M,2.0,M,9600,11.86,0.2,N,0,B
30,55000,M,0.0,E,12000,13.55,0.22,N,0,D
35,82008,M,7.0,H,7200,6.62,0.09,N,0,A
27,50000,R,3.0,V,15000,16.77,0.3,N,0,D
21,25000,O,0.0,E,8800,9.33,0.35,N,0,B
34,115000,M,11.0,M,6000,5.79,0.05,N,0,A
24,77385,R,5.0,D,6150,5.99,0.08,N,0,A
23,87000,M,2.0,P,25000,14.96,0.29,Y,0,D
24,16800,R,3.0,M,2400,13.98,0.14,Y,1,C
29,60000,O,1.0,P,10000,10.99,0.17,N,0,B
22,82000,M,5.0,E,20000,9.88,0.24,N,0,B
24,34000,R,0.0,E,7000,17.04,0.21,N,1,E
29,42000,R,0.0,P,13750,11.36,0.33,N,1,B
28,98400,M,12.0,V,20000,14.84,0.2,Y,0,D
22,31760,R,3.0,P,12875,12.53,0.41,N,1,B
22,40000,R,2.0,E,6200,12.69,0.15,N,0,B
22,25440,R,6.0,E,4000,5.42,0.16,N,0,A
27,44000,M,2.0,M,7500,8.0,0.17,N,0,A
30,20000,R,1.0,P,3000,11.49,0.15,N,1,B
33,135000,M,0.0,V,10000,7.51,0.07,N,0,A
23,64000,R,5.0,V,8000,10.0,0.13,N,0,B
26,45000,R,2.0,D,9050,7.29,0.2,N,0,A
35,52000,R,2.0,M,3000,11.48,0.06,N,0,B
23,78000,R,0.0,M,6000,9.99,0.08,N,0,B
35,34868,R,14.0,M,5000,6.0,0.14,N,1,E
23,85000,M,7.0,E,14000,6.03,0.16,N,0,A
24,44000,R,1.0,E,4000,8.7,0.09,N,0,B
42,70000,M,3.0,M,2825,9.64,0.04,N,0,B
25,19000,R,0.0,D,750,12.29,0.04,Y,0,C
42,108000,M,14.0,V,14400,13.67,0.13,Y,1,D
27,91000,M,2.0,P,11525,7.49,0.13,N,0,A
27,12240,R,0.0,V,3250,10.36,0.27,N,1,B
37,26000,O,2.0,M,6000,8.59,0.23,N,0,A
31,34000,R,1.0,P,9000,11.48,0.26,N,0,B
25,128600,M,9.0,P,28000,7.9,0.22,N,0,A
23,22000,R,1.0,V,2000,13.99,0.09,N,0,C
23,90000,R,0.0,P,2000,7.88,0.02,N,0,A
30,60000,R,0.0,P,12000,11.71,0.2,N,0,B
24,89000,M,1.0,V,25000,15.65,0.28,Y,1,D
34,25200,R,0.0,P,3750,12.99,0.15,Y,0,C
25,54000,R,6.0,D,14000,14.59,0.26,Y,1,D
35,82000,M,4.0,H,10000,16.69,0.12,Y,0,E
27,35088,M,7.0,V,12000,8.94,0.34,N,0,A
29,27840,R,0.0,E,8575,19.42,0.31,Y,1,E
31,65000,M,15.0,M,8000,11.49,0.12,N,0,B
36,31000,R,2.0,V,2500,8.9,0.08,N,0,A
22,80000,R,4.0,D,7000,6.62,0.09,N,0,A
23,25000,R,0.0,E,6400,12.84,0.26,N,0,C
21,37423,R,5.0,M,2800,7.88,0.07,N,0,A
22,57996,M,4.0,V,21250,6.91,0.37,N,0,A
40,13273,R,3.0,D,3850,9.99,0.29,N,1,B
31,250000,M,14.0,P,12000,14.09,0.05,Y,0,D
24,73000,R,0.0,H,18500,7.9,0.25,N,1,A
21,42000,M,6.0,E,3500,7.51,0.08,N,0,A
28,57000,R,0.0,H,6800,10.65,0.12,N,0,B
27,41000,R,2.0,D,2000,15.27,0.05,Y,0,C
22,31200,R,6.0,E,12000,10.39,0.38,N,1,B
24,95000,O,8.0,P,4800,13.43,0.05,N,0,C
27,14000,R,5.0,H,4750,10.0,0.34,N,1,B
25,138000,M,9.0,P,8000,6.99,0.06,N,0,A
30,95000,M,6.0,P,4000,5.99,0.04,N,0,A
27,29160,M,2.0,V,8000,7.51,0.27,N,0,A
39,30000,R,3.0,P,6000,10.75,0.2,N,0,B
42,30000,R,5.0,V,8000,14.96,0.27,Y,0,D
21,25000,R,0.0,D,5000,12.86,0.2,Y,1,D
26,74000,R,3.0,P,9000,10.0,0.12,N,0,B
22,44400,R,1.0,P,11775,13.49,0.27,Y,0,C
24,28000,R,8.0,M,10000,6.91,0.36,N,1,A
21,18492,R,0.0,E,5000,12.92,0.27,Y,1,D
24,72000,R,8.0,E,5500,9.91,0.08,N,0,B
34,91800,M,0.0,M,25000,15.83,0.23,Y,1,F
